cdk_entity_id,cdk_entity_name,cdk_path,cdk_load_column,cdk_datatype,cdk_length,cdk_unit,cdk_confidence,sap_field_raw,sap_table,sap_field,sap_annotation,sap_module,sap_data_element,sap_datatype,sap_length,sap_decimals,sap_is_key,status,type_verdict,type_detail,resolution_detail,widened_length,widening_reason
cost-centre-department,Cost Centre / Department,departmentName,department_name,string,60,,INFERRED,CSKT-KTEXT,CSKT,KTEXT,,CO,KTEXT,CHAR,20,0,False,RESOLVED,WIDENED,"CDK length 60 > SAP CHAR(20) — declared widening to 60, recorded in WIDENING-POLICY.md: SAP CSKT-KTEXT is CHAR(20); the CDK/dealer-native value for this field can genuinely run up to 60 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (60) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/co/tables/CSKT.yaml,60,"SAP CSKT-KTEXT is CHAR(20); the CDK/dealer-native value for this field can genuinely run up to 60 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (60) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
cost-centre-department,Cost Centre / Department,scheduleIndex,schedule_index,enum,,,UNVERIFIED,NO_SAP_ANALOGUE,,,,,,,,,,NO_SAP_ANALOGUE,N_A,,sap_field value 'NO_SAP_ANALOGUE' does not parse as TABLE-FIELD; treated as a dealer/DMS concept without a crisp SAP handle.,,
cost-centre-department,Cost Centre / Department,absorptionRateFlag,absorption_rate_is_report_only,boolean,,,INFERRED,NO_SAP_ANALOGUE,,,,,,,,,,NO_SAP_ANALOGUE,N_A,,sap_field value 'NO_SAP_ANALOGUE' does not parse as TABLE-FIELD; treated as a dealer/DMS concept without a crisp SAP handle.,,
cost-centre-department,Cost Centre / Department,costCenterType,cost_center_type,enum,,,INFERRED,CSKS-KOSAR,CSKS,KOSAR,,CO,KOSAR,CHAR,1,0,False,RESOLVED,OK,,resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/co/tables/CSKS.yaml,,
customer-master,Customer Master,data[].customerId,customer_id,string,32,,DOCUMENTED,KNA1-KUNNR,KNA1,KUNNR,,FI,KUNNR,CHAR,10,0,True,RESOLVED,WIDENED,"CDK length 32 > SAP CHAR(10) — declared widening to 32, recorded in WIDENING-POLICY.md: SAP KNA1-KUNNR is CHAR(10); the CDK/dealer-native value for this field can genuinely run up to 32 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (32) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,32,"SAP KNA1-KUNNR is CHAR(10); the CDK/dealer-native value for this field can genuinely run up to 32 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (32) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
customer-master,Customer Master,data[].hostItemId,host_item_id,string,32,,DOCUMENTED,KNA1-KUNNR (alt key),KNA1,KUNNR,(alt key),FI,KUNNR,CHAR,10,0,True,RESOLVED,WIDENED,"CDK length 32 > SAP CHAR(10) — declared widening to 32, recorded in WIDENING-POLICY.md: SAP KNA1-KUNNR is CHAR(10); the CDK/dealer-native value for this field can genuinely run up to 32 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (32) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,32,"SAP KNA1-KUNNR is CHAR(10); the CDK/dealer-native value for this field can genuinely run up to 32 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (32) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
customer-master,Customer Master,data[].customerName.firstName,first_name,string,40,,DOCUMENTED,KNA1-NAME2,KNA1,NAME2,,FI,NAME2_GP,CHAR,35,0,False,RESOLVED,WIDENED,"CDK length 40 > SAP CHAR(35) — declared widening to 40, recorded in WIDENING-POLICY.md: SAP KNA1-NAME2 is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 40 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (40) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,40,"SAP KNA1-NAME2 is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 40 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (40) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
customer-master,Customer Master,data[].customerName.lastName,last_name,string,40,,DOCUMENTED,KNA1-NAME1,KNA1,NAME1,,FI,NAME1_GP,CHAR,35,0,False,RESOLVED,WIDENED,"CDK length 40 > SAP CHAR(35) — declared widening to 40, recorded in WIDENING-POLICY.md: SAP KNA1-NAME1 is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 40 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (40) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,40,"SAP KNA1-NAME1 is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 40 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (40) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
customer-master,Customer Master,data[].customerName.companyName,company_name,string,80,,DOCUMENTED,KNA1-NAME1 (org),KNA1,NAME1,(org),FI,NAME1_GP,CHAR,35,0,False,RESOLVED,WIDENED,"CDK length 80 > SAP CHAR(35) — declared widening to 80, recorded in WIDENING-POLICY.md: SAP KNA1-NAME1 is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 80 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (80) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,80,"SAP KNA1-NAME1 is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 80 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (80) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
customer-master,Customer Master,data[].birthDate.day,birth_day,string,2,,DOCUMENTED,NO_SAP_ANALOGUE,,,,,,,,,,NO_SAP_ANALOGUE,N_A,,sap_field value 'NO_SAP_ANALOGUE' does not parse as TABLE-FIELD; treated as a dealer/DMS concept without a crisp SAP handle.,,
customer-master,Customer Master,data[].postalAddress.addressLine1,address_line1,string,60,,DOCUMENTED,KNA1-STRAS,KNA1,STRAS,,FI,STRAS_GP,CHAR,35,0,False,RESOLVED,WIDENED,"CDK length 60 > SAP CHAR(35) — declared widening to 60, recorded in WIDENING-POLICY.md: SAP KNA1-STRAS is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 60 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (60) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,60,"SAP KNA1-STRAS is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 60 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (60) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
customer-master,Customer Master,data[].postalAddress.city,city,string,40,,DOCUMENTED,KNA1-ORT01,KNA1,ORT01,,FI,ORT01_GP,CHAR,35,0,False,RESOLVED,WIDENED,"CDK length 40 > SAP CHAR(35) — declared widening to 40, recorded in WIDENING-POLICY.md: SAP KNA1-ORT01 is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 40 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (40) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,40,"SAP KNA1-ORT01 is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 40 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (40) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
customer-master,Customer Master,data[].postalAddress.state,state,string,10,,DOCUMENTED,KNA1-REGIO,KNA1,REGIO,,FI,REGIO,CHAR,3,0,False,RESOLVED,WIDENED,"CDK length 10 > SAP CHAR(3) — declared widening to 10, recorded in WIDENING-POLICY.md: SAP KNA1-REGIO is CHAR(3); the CDK/dealer-native value for this field can genuinely run up to 10 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (10) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,10,"SAP KNA1-REGIO is CHAR(3); the CDK/dealer-native value for this field can genuinely run up to 10 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (10) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
customer-master,Customer Master,data[].postalAddress.postalCode,postal_code,string,15,,DOCUMENTED,KNA1-PSTLZ,KNA1,PSTLZ,,FI,PSTLZ,CHAR,10,0,False,RESOLVED,WIDENED,"CDK length 15 > SAP CHAR(10) — declared widening to 15, recorded in WIDENING-POLICY.md: SAP KNA1-PSTLZ is CHAR(10); the CDK/dealer-native value for this field can genuinely run up to 15 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (15) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,15,"SAP KNA1-PSTLZ is CHAR(10); the CDK/dealer-native value for this field can genuinely run up to 15 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (15) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
customer-master,Customer Master,data[].postalAddress.country,country,string,40,,DOCUMENTED,KNA1-LAND1,KNA1,LAND1,,FI,LAND1_GP,CHAR,3,0,False,RESOLVED,WIDENED,"CDK length 40 > SAP CHAR(3) — declared widening to 40, recorded in WIDENING-POLICY.md: SAP KNA1-LAND1 is CHAR(3); the CDK/dealer-native value for this field can genuinely run up to 40 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (40) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,40,"SAP KNA1-LAND1 is CHAR(3); the CDK/dealer-native value for this field can genuinely run up to 40 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (40) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
customer-master,Customer Master,data[].contactMethods.primaryPhone,primary_phone,string,20,,DOCUMENTED,KNA1-TELF1,KNA1,TELF1,,FI,TELF1,CHAR,16,0,False,RESOLVED,WIDENED,"CDK length 20 > SAP CHAR(16) — declared widening to 20, recorded in WIDENING-POLICY.md: SAP KNA1-TELF1 is CHAR(16); the CDK/dealer-native value for this field can genuinely run up to 20 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (20) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,20,"SAP KNA1-TELF1 is CHAR(16); the CDK/dealer-native value for this field can genuinely run up to 20 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (20) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
customer-master,Customer Master,data[].contactMethods.mobilePhone,mobile_phone,string,20,,DOCUMENTED,KNA1-TELF2,KNA1,TELF2,,FI,TELF2,CHAR,16,0,False,RESOLVED,WIDENED,"CDK length 20 > SAP CHAR(16) — declared widening to 20, recorded in WIDENING-POLICY.md: SAP KNA1-TELF2 is CHAR(16); the CDK/dealer-native value for this field can genuinely run up to 20 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (20) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,20,"SAP KNA1-TELF2 is CHAR(16); the CDK/dealer-native value for this field can genuinely run up to 20 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (20) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
customer-master,Customer Master,data[].contactMethods.emailAddresses[].address,email_address,string,120,,DOCUMENTED,ADR6-SMTP_ADDR,ADR6,SMTP_ADDR,,CROSS,,,,,,TABLE_INVENTORIED_NOT_DEFINED,N_A,,ADR6 is named in TABLES.yaml (CROSS) but has no field-level tables/<TABLE>.yaml yet.,,
customer-master,Customer Master,data[].dateAdded,date_added,date,,,DOCUMENTED,KNA1-ERDAT,KNA1,ERDAT,,FI,ERDAT_RF,DATS,8,0,False,RESOLVED,OK,,resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,,
customer-master,Customer Master,data[].taxCode,tax_code,string,10,,DOCUMENTED,KNA1-STCEG (analogue),KNA1,STCEG,(analogue),FI,STCEG,CHAR,20,0,False,RESOLVED,OK,,resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/KNA1.yaml,,
customer-master,Customer Master,data[].overDues.over30Due,overdue_30_days,decimal,,currency,DOCUMENTED,Aging bucket 1 (analogue),,,,,,,,,,NO_SAP_ANALOGUE,N_A,,sap_field value 'Aging bucket 1 (analogue)' does not parse as TABLE-FIELD; treated as a dealer/DMS concept without a crisp SAP handle.,,
customer-master,Customer Master,data[].balances,current_balance,decimal,,currency,DOCUMENTED,BSID-DMBTR,BSID,DMBTR,,FI,DMBTR,CURR,13,2,False,RESOLVED,OK,,resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/BSID.yaml,,
customer-master,Customer Master,data[].creditLimit,credit_limit,decimal,,currency,DOCUMENTED,KNKK-KLIMK,KNKK,KLIMK,,,,,,,,TABLE_MISSING,N_A,,KNKK is not named in any schema/sap-modules/*/TABLES.yaml inventory.,,
vehicle-master,Vehicle Master,vehicleId,vehicle_id,string,32,,DOCUMENTED,EQUI-EQUNR (equipment master analogue),EQUI,EQUNR,(equipment master analogue),PM,EQUNR,CHAR,18,0,True,RESOLVED,WIDENED,"CDK length 32 > SAP CHAR(18) — declared widening to 32, recorded in WIDENING-POLICY.md: SAP EQUI-EQUNR is CHAR(18); the CDK/dealer-native value for this field can genuinely run up to 32 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (32) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/pm/tables/EQUI.yaml,32,"SAP EQUI-EQUNR is CHAR(18); the CDK/dealer-native value for this field can genuinely run up to 32 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (32) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
vehicle-master,Vehicle Master,identification.vin,vin,string,17,,DOCUMENTED,EQUI-SERGE (serial no. analogue),EQUI,SERGE,(serial no. analogue),PM,SERGE,CHAR,30,0,False,RESOLVED,OK,,resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/pm/tables/EQUI.yaml,,
employee-master,Employee Master,data[].serviceAdvisor,service_advisor_number,integer,,,DOCUMENTED,PA0001-PERNR,PA0001,PERNR,,HR,,,,,,TABLE_INVENTORIED_NOT_DEFINED,N_A,,PA0001 is named in TABLES.yaml (HR) but has no field-level tables/<TABLE>.yaml yet.,,
vendor-master,Vendor Master,vendorId,vendor_id,string,20,,INFERRED,LFA1-LIFNR,LFA1,LIFNR,,FI,LIFNR,CHAR,10,0,True,RESOLVED,WIDENED,"CDK length 20 > SAP CHAR(10) — declared widening to 20, recorded in WIDENING-POLICY.md: SAP LFA1-LIFNR is CHAR(10); the CDK/dealer-native value for this field can genuinely run up to 20 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (20) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/LFA1.yaml,20,"SAP LFA1-LIFNR is CHAR(10); the CDK/dealer-native value for this field can genuinely run up to 20 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (20) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
vendor-master,Vendor Master,vendorName,vendor_name,string,80,,INFERRED,LFA1-NAME1,LFA1,NAME1,,FI,NAME1_GP,CHAR,35,0,False,RESOLVED,WIDENED,"CDK length 80 > SAP CHAR(35) — declared widening to 80, recorded in WIDENING-POLICY.md: SAP LFA1-NAME1 is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 80 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (80) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/LFA1.yaml,80,"SAP LFA1-NAME1 is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 80 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (80) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
vendor-master,Vendor Master,remitToAddressLine1,remit_to_address_line1,string,60,,INFERRED,LFA1-STRAS,LFA1,STRAS,,FI,STRAS_GP,CHAR,35,0,False,RESOLVED,WIDENED,"CDK length 60 > SAP CHAR(35) — declared widening to 60, recorded in WIDENING-POLICY.md: SAP LFA1-STRAS is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 60 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (60) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/LFA1.yaml,60,"SAP LFA1-STRAS is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 60 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (60) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
vendor-master,Vendor Master,remitToCity,remit_to_city,string,40,,INFERRED,LFA1-ORT01,LFA1,ORT01,,FI,ORT01_GP,CHAR,35,0,False,RESOLVED,WIDENED,"CDK length 40 > SAP CHAR(35) — declared widening to 40, recorded in WIDENING-POLICY.md: SAP LFA1-ORT01 is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 40 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (40) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/LFA1.yaml,40,"SAP LFA1-ORT01 is CHAR(35); the CDK/dealer-native value for this field can genuinely run up to 40 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (40) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
vendor-master,Vendor Master,remitToState,remit_to_state,string,10,,INFERRED,LFA1-REGIO,LFA1,REGIO,,FI,REGIO,CHAR,3,0,False,RESOLVED,WIDENED,"CDK length 10 > SAP CHAR(3) — declared widening to 10, recorded in WIDENING-POLICY.md: SAP LFA1-REGIO is CHAR(3); the CDK/dealer-native value for this field can genuinely run up to 10 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (10) in DDL rather than truncating real dealer data to fit a legacy SAP field length.",resolved against ../eve-datasphere-sovereign-fresh/schema/sap-modules/fi/tables/LFA1.yaml,10,"SAP LFA1-REGIO is CHAR(3); the CDK/dealer-native value for this field can genuinely run up to 10 characters. Per docs/model/WIDENING-POLICY.md, the spine keeps SAP semantics (this field IS the SAP analogue conceptually) but emits the source-native width (10) in DDL rather than truncating real dealer data to fit a legacy SAP field length."
